
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Honduras","HND","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","167913","152260","153649","","94568","87154","82985","","89798","","","","","119955","","113714","","","","","","","152859","","","128775","112491","160923","100154","167815","124989","140002","139588","131055","172566","208319","209245","223848","201619","192262","",
"Heavily indebted poor countries (HIPC)","HPC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","23370055","23637318","24023982","23772762","23565263","23417534","23454651","23579908","23411229","23434252","24387273","24696376","25508080","26295964","26994774","28346461","29263032","30814209","32403793","32554673","34116320","35298444","35672259","35238010","36081591","34973236","35850988","36766019","36171926","34942926","32995093","31493801","30215373","28810592","27589484","26393009","24005713","24313587","25016112","24311476","23975031","23412719","23301249","23864768","23952426","24492759","",
"Croatia","HRV","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36190","16179","12763","7727","3339","496","","2095","2207","2369","5425","16126","9545","5250","2485","2840","2705","2739","4007","","",
"Haiti","HTI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","548126","543510","503051","474630","516854","484163","478606","583789","","","","","","","","","","563557","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40682","46044","107225","64998","20223","19474","16996","14976","14271","19294","20346","16022","12697","15533","11711","9638","10511","13081","14969","15569","14741","14094","12152","","",
"IBRD only","IBD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","72310991","75253584","75343752","69461772","68094925","65337841","64613248","66927956","74236714","74643546","71956787","68728449","67180890","65421859","62617551","57609856","51706393","49255647","46442086","42422235","42223509","42828241","44980302","45134708","45753844","48997057","49633836","51743881","47419633","41257521","37788733","35393107","30308681","24730333","22010301","23168625","21675963","16903967","15680835","16755288","15576324","16383719","15213863","15275672","15448126","14885847","15106982","15123934","",
"IDA & IBRD total","IBT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","117495113","121588907","121096286","114330742","113492026","110205940","109355734","111415870","118688331","118306746","115167573","111398589","110249015","109207962","108150619","105249398","101894643","101701105","99485097","97541621","99371241","100190670","103501484","104688516","106056089","109908128","112802932","113583719","109634259","103885066","98048273","94153867","86813816","78325156","72886288","71901927","69597019","61863480","60607447","61197264","60071037","59701179","58375939","59325745","59799000","60181399","60120000","61505717","",
"IDA total","IDA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","45752535","44868970","45397101","44868100","44742487","44487914","44451618","43663201","43210786","42670139","43068125","43786102","45533069","47639542","50188250","52445458","53043012","55119386","57147731","57362429","58521182","59553808","60302245","60911072","63169095","61839838","62214627","62627546","60259540","58760760","56505135","53594823","50875988","48733302","47921056","44959512","44926612","44441976","44494713","43317460","43162076","44050073","44350874","45295552","45013018","46381783","",
"IDA blend","IDB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19759229","19212503","18333994","18271243","18593091","17802596","16806670","16614292","17343134","15335331","17264238","16693612","16384037","16279169","16484347","17253046","17185136","17520857","17098907","17814773","",
"Indonesia","IDN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","5474223","5413438","","5776781","5434779","4960957","4570793","3190264","","","2290699","936346","617742","557079","535915","694321","480868","570113","536814","973296","1221665","1461337","1793983","1657112","1705304","1992317","1993324","","","","1002343","1204112","1356735","1575368","1851641","1507622","845333","1003086","710062","537145","681642","1127807","1957061","2278461","","2359548","2061360","",
"IDA only","IDX","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","31798326","32766162","32091043","31097558","31921136","31157337","30699580","30831390","30855569","30981966","30766486","30861567","31863295","32460366","33594727","34850949","35820402","37286486","36815597","38116781","39804661","39600182","40670727","41817407","42059373","41821802","42444146","41575834","42455398","43415043","41925545","40489517","37912044","35792227","34069318","32119011","30577922","29624181","27662374","27748364","28110676","27038291","26677729","26797027","27165738","27774694","27914111","28567011","",
"Isle of Man","IMN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","27931284","","","","","","","","","","","","","","","","","","","23828518","","","","","","","","","","19010657","19170670","19511894","13738926","","","","3772976","3767825","5480851","4808268","5376054","3825445","2897747","","","","","",
"Not classified","INX","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","19269","24371","24000","26648","24043","19121","15591","14862","19269","27758","40126","52465","61655","","","67247","63143","57838","54513","51742","52966","55346","55258","53354","50533","45935","","2788","844","179","795","952","83","402","1139","526","806","354","128","1059","12234","1258","2357","2183","266","163","","",
"Iran, Islamic Rep.","IRN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","1937920","","","","","","","","","","","","","1000983","1048550","1046111","1078136","1069751","1086307","621033","","329265","","","","","617274","","1248058","1258098","","498568","511741","277546","273047","70416","56963","","22508","16925","9176","19227","90884","30869","41355","","","",
"Iraq","IRQ","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","664238","659307","653093","648182","691792","566314","569431","557986","235978","156377","178355","","298098","","339760","328957","287457","263649","303414","","","","700783","","","833656","","","380990","431035","","","232065","290956","","","345387","","","","","","","","","","","",
"Iceland","ISL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","226","","","","","","","","","","","","","","","","","792","","599","453","144","333","329","230","225","549","1083","1009","837","570","233","93","215","361","523","567","542","420","151","","",
"Israel","ISR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15150","13726","10913","13169","12800","15918","17110","21035","19858","20496","23162","20272","23348","18622","22264","24359","20665","25499","","",
"Italy","ITA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","23369","","","79117","","","26169","","","","","","41007","","","","","","","","","","85676","53779","32821","","2410","6866","9174","11506","12724","18022","19022","21402","22948","24549","23506","20740","28136","19215","15393","18816","27056","39161","","",
"Jamaica","JAM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","17921","27711","25531","","12413","12231","12485","","8781","12841","15220","14289","7337","17464","6211","8700","14296","","24910","","","","","","29172","24357","25575","28191","32520","26496","","","","","","","","","","","","","","",
"Jordan","JOR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","39025","23720","17512","16892","15210","12815","9725","11994","35329","46677","49870","64546","67616","65107","","","","","","","","","","","","","","67126","59552","","41926","32189","32195","","","","","","","","","","","","","","",
"Japan","JPN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","66285","113064","167772","335163","229526","133594","89053","138624","116058","7087","54301","172337","212538","184990","73513","13721","13812","14630","15169","18037","66273","97075","","42870","20773","","","157805","173772","171651","156072","95378","52183","16441","19326","21247","19492","16694","13933","45382","56557","72890","92485","115680","80630","118248","","",
"Kazakhstan","KAZ","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82213","40988","26282","21966","18187","15567","23142","23409","9949","4997","3336","7094","5929","6371","5624","1671","3263","11270","",
"Kenya","KEN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1972395","1831944","1786139","2110076","1531001","1683603","1695173","1803407","1213103","1492905","1420614","","","1214199","","","","","","",
"Kyrgyz Republic","KGZ","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36167","","","32562","35066","30738","30493","31086","9535","19490","13601","17491","19417","22005","19287","20018","6137","6170","7634","8009","6756","6773","",
"Cambodia","KHM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","347433","313350","274784","153905","","","48317","","","103094","79290","102091","","116680","45173","46721","","89849","87658","137924","184824","",
"Kiribati","KIR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","133","","28","","65","57","122","277","635","","189","","31","12","155","139","244","252","129","","","","","","","","","","","","","","","","","336","477","300","577","",
"St. Kitts and Nevis","KNA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","223926","134993","175106","194452","175541","126003","173962","156286","69392","2843","3755","10964","13566","43434","69384","81331","23012","5334","5338","10202","11864","18984","28491","41812","59487","67439","54616","77434","53237","32324","75052","88001","55017","64637","12558","12651","11445","8278","13933","27243","33870","79417","159634","150215","74115","95530","","",
"Kuwait","KWT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","33264","33321","32069","32581","33150","33825","29865","20009","23472","26911","26580","25828","22223","20226","17895","18739","28936","33903","","","","105244","","51841","","14912","15155","6807","7775","12837","13897","10262","11078","8667","14820","","4502","2461","","2735","1910","3575","5843","6402","6218","8799","19258","",
"Latin America & Caribbean (excluding high income)","LAC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","6636438","6715057","6679616","6532302","6429418","6459626","6272188","5943763","5767409","5145816","5093207","4794822","4858061","4876192","4888485","4786857","4810739","4767372","4924878","5336341","5074820","5013234","4558421","4498532","4781682","4795073","4492646","4618572","3440369","2738123","2370555","2197966","2193735","2584597","2508112","2637813","2936131","3157405","2329124","2151720","2021742","1926929","1958529","2340355","2501290","2486035","2458106","2565608","",
"Lao PDR","LAO","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","191287","","202978","","255508","233931","218047","","219662","208798","190996","191794","189828","197410","190897","170674","163966","151120","135904","113237","92841","74054","38805","38822","38302","23539","20572","32541","39567","50332","",
"Lebanon","LBN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","7150","","","","","","","","","","","","","","","","","","","","","","","49305","640","","","","5641","9618","18190","38297","52180","47453","42827","36629","29414","29383","44755","53144","82008","86816","85468","61661","",
"Liberia","LBR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220698","","","","","","","341178","","330653","361894","","387613","","","440867","453290","468085","","",
"Libya","LBY","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","74294","49693","34706","27535","27018","21491","20117","34811","","17845","19234","","12385","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","1921","1424","232","309","0","0","","","","629","","","","","","","","","","2290","2177","401","693","1194","1710","1104","1198","","","","","","","","","","","",
"Latin America & Caribbean","LCN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","6916515","6944316","6913300","6764548","6640917","6675753","6493451","6137816","5985468","5389065","5380924","5041091","5156564","5260546","5371543","5275495","5312184","5289351","5452041","5874911","5626693","5480180","4995100","4864187","5130561","5145674","4838618","5436765","3692483","2954261","2584810","2395531","2386786","2811122","2679202","2812413","3097536","3312538","2492154","2361630","2227864","2163901","2203332","2597540","2768862","2746025","2725461","2833111","",
"Least developed countries: UN classification","LDC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","30571623","31523716","30819408","29847705","30612258","29775225","29316983","29413200","29376130","29493303","29260715","29450270","30519494","31081415","32162757","33482605","34311235","35779312","35221471","36498631","38100025","38052239","39169149","40213364","40525190","40209783","40771541","39933606","40829843","41777533","40324951","38833873","36351784","34028553","32294188","30271810","28620568","28014709","26184810","26190572","26774711","25931347","25668401","25386353","25747713","26615464","27047234","27769108","",
"Low income","LIC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","22060328","22353823","22150937","21998798","21799240","21896835","22082793","21613189","21306561","22175181","22350629","23038594","23775158","24330732","25745794","26566654","27834704","29402120","29572535","31054607","32176468","32556747","32116658","32835266","32017170","32896684","33801846","32995654","31863164","29789659","28024360","26836865","25457928","23984203","22952920","21115816","20979789","21693719","21024135","20629876","21064968","21690356","22524630","22935036","23540666","",
"Liechtenstein","LIE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","12","","24","23","16","30","16","25","29","","47","4","13","","",
"Sri Lanka","LKA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","379999","","","","","","","","","34062","","","","","","","","","","","","","","","1949","1228","6209","50983","44408","53227","59790","74531","112761","85544","83875","81413","61804","47276","16068","15984","12056","",
"Lower middle income","LMC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","62923749","64193979","63441384","61344997","62764335","61608918","61334675","59204022","60650611","60054471","58862524","57483454","55595827","54810754","54714674","56192525","56700785","59101343","57829110","56465451","58054062","58818070","59386371","57812324","56163911","57671038","58224051","58436857","58623675","56878281","52926268","51935491","52089127","45353035","41539557","38659927","36594199","30904130","32305434","33053463","31162454","31429391","30470470","30702801","30688360","30550237","29949402","30523548","",
"Low & middle income","LMY","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","117228478","121382104","120924901","114181607","113357555","110034144","109144210","111217477","118457329","118079572","114930873","111257790","110112788","108987600","107842401","104944549","101562817","101324648","99101761","97081876","98855808","99756185","103067312","104367417","105722131","109519355","112406926","112765093","109427188","103702494","97875219","94013717","86664233","78141243","72747387","71757473","69471373","61734065","60459702","60988720","59892641","59521636","58209288","59168681","59660060","60073042","60005466","61399284","",
"Lesotho","LSO","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","78905","88568","89306","90589","75634","","76991","76730","94150","93578","94956","97094","89034","93321","93340","88625","89112","85300","82822","86540","92097","88545","88933","98153","95275","99623","99701","","128975","142627","70795","70294","69075","69147","78084","81193","80273","89171","84753","81992","73967","68407","63590","70451","68338","68547","67665","64711","",
"Late-demographic dividend","LTE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","15780799","11827514","10184249","9453573","9288834","10043185","11231157","12556915","14523050","16734174","18207430","19478231","15015345","10492537","9372545","8311864","3674531","3863088","3549022","6528913","7601666","6436076","5139589","5156041","5124142","5004813","4804096","5043721","4898615","4928067","4759886","4916387","",
"Lithuania","LTU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8353","7799","4383","3768","3649","3120","2670","2081","1621","1419","1086","1079","861","698","714","354","268","262","273","","",
"Luxembourg","LUX","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","2777","3149","2447","2725","2809","2963","3027","","","5829","4149","4337","4576","","4486","5286","3753","","","","","","","","","","","839","939","1083","1016","1413","1202","779","609","576","839","","1699","1958","1598","1751","1474","856","436","","",
"Latvia","LVA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6432","","","","","","","","","1579","2564","2248","2258","3163","3700","4067","4146","3890","","",
"Macao SAR, China","MAC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2873","","5354","","","","","","","5757","6117","7027","6559","6286","5833","5471","5272","4571","4249","4311","4077","3476","2928","2323","1306","457","320","261","",
"St. Martin (French part)","MAF","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","1527266","1535491","1559652","","1534110","1469843","1385849","1311244","1257731","1196072","1130414","1130176","1078267","1023926","1080297","1153660","1235393","1314534","1411581","1418564","1731692","1748314","1690903","1601010","1491707","1392656","1317886","1333507","1133683","941308","783331","613379","555484","550928","499077","437510","379705","352839","366356","265628","235594","262691","215085","239256","","201738","117890","",
"Monaco","MCO","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18507","10459","9108","7181","6717","12469","16572","16982","15389","15482","14936","13935","13945","13892","14871","15066","14970","15706","",
"Madagascar","MDG","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","369372","","","","","","","","","","","","","","","","","546631","582265","","","","","838703","819866","","","737312","731330","727908","736090","529288","","","","","","","","","","","","","","","",
"Maldives","MDV","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2687","","2384","1632","983","901","","254","896","1019","1193","1862","1563","","","","","","1464","753","219","",
"Middle East & North Africa","MEA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","8705755","8978349","8435579","8368974","8388430","8031212","7679914","7523045","7425789","7817417","7384557","7659875","7516735","7528968","7367537","7480988","7418021","7324479","7325146","7571774","6843394","6823183","7883723","7968673","7472495","8044183","7377756","7431259","7514498","7503672","6970968","5883439","4964680","4461101","3887727","3814347","3622186","2915173","2655573","2369270","1897128","2086738","1901710","2617219","3034126","2954484","2982020","2879916","",
"Mexico","MEX","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","1863099","","","","","","1287184","","","","","","","","771865","530285","415237","419312","659156","395128","430271","379136","395966","452927","477012","515982","576369","552557","149546","89346","83474","78024","69128","155334","331003","470197","512179","519895","429335","304461","191070","146866","163559","170500","156901","139577","","",
"Marshall Islands","MHL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143","","","","","","","","","24","","","","1904","1909","","",
"Middle income","MIC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","96252170","99960892","99032266","92121279","91003732","87883207","87145412","89418236","96560494","95996779","93317684","89951229","87937607","86636972","84803807","81169390","77232085","75578854","72535108","69247172","69453688","70183650","72012705","72190949","73165384","77402697","79571660","80747923","76530504","69900647","64879566","62150553","56874574","50116883","45910522","46299545","45487170","38781145","39343886","40008931","38198922","38497501","37579412","38103714","37969704","37548411","37070429","37858618","",
"Macedonia, FYR","MKD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11272","11476","5501","6647","7983","9288","8637","8380","9369","9345","12150","10336","5951","","12666","13745","12756","9608","","","",
"Mali","MLI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","722187","727682","740030","734796","","","780428","","","","","","","","","","","","","","","","","","","","","","960028","","","901491","930189","959909","887424","885929","867865","","767203","771046","775358","864236","1020428","1037397","1161723","1159687","1037948","",
"Malta","MLT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","7041","7316","7651","7007","5687","3746","2094","1039","770","1499","2090","2199","2838","2601","1604","1830","2267","2269","1928","1523","1319","1242","1089","1474","1131","547","276","","","","","","","","","","","","","","435","475","141","277","360","585","","",
"Myanmar","MMR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","1308667","","1084613","1492939","","","","1408242","","","","","","","","","","","","","","","","","","","","","","376461","312844","413704","323669","397619","415841","435887","435683","419977","505595","541175","","","","192541","","","109055","",
"Middle East & North Africa (excluding high income)","MNA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","8009384","8251014","7689344","7598322","7589933","7209547","6827315","6646505","6521876","6861622","6396426","6630502","6457494","6439295","6259589","6349999","6275844","6161358","6135078","6349949","5588699","5508168","6551122","6653089","6185528","6810849","6206356","6309850","6461679","6501413","6005618","4960970","4097279","3647044","3131214","3111270","2996661","2400167","2226614","2023459","1728848","1916342","1828332","2479709","2886133","2880586","2791722","2679527","",
"Montenegro","MNE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","916","","699","509","1254","1290","","","3320","1466","","","2031","2438","1473","",
"Mongolia","MNG","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","4811","","","9284","","","","8590","","","","","","","","34408","28865","37723","28932","24148","18273","14287","16229","31787","15560","19403","6223","5386","4250","7805","5136","4265","5463","10600","9871","5817","3355","3169","",
"Northern Mariana Islands","MNP","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","888637","","","","","","815078","","899170","933595","734044","","713342","738931","987229","1073565","1084714","1073160","1112267","1164929","1211941","1214554","1188257","","","1665214","1597410","1520991","1421891","1634076","","1253278","1091389","969658","782668","658934","624314","572998","692394","697823","659416","642008","579211","649097","728531","",
"Mauritania","MRT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","199051","","","","","","","","","197300","178556","170428","","165423","172319","175827","165076","172176","162563","134069","144040","134940","133944","155302","162835","164661","165602","176191","164479","155766","","184325","153801","",
"Mauritius","MUS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","34892","33377","31361","28727","27743","22569","25692","29554","28822","23867","15497","11117","6785","118","2018","441","679","832","3472","9004","","8637","7385","6232","3550","2507","5063","9172","8760","9493","7392","8021","6939","4764","4628","4015","3810","3916","3989","3664","6849","4188","3580","3677","4429","3496","",
"Malawi","MWI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88635","","","31719","","61593","75790","113320","225258","75910","81563","","","","","","","","","",
"Malaysia","MYS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","249439","261616","245111","","","","","","","","","","","","","","","","","","","","","","78402","","","","128047","134471","49870","68977","108096","93370","21162","12358","143938","149554","146710","117810","106357","72025","21983","2764","11326","13950","32563","41794","",
"North America","NAC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","4615194","4519080","4173080","3989533","3787221","3781841","2100065","2094548","1562641","1784350","1959638","1854186","1493569","1112317","875974","633440","393533","339736","563220","825983","995886","818078","1066412","1036780","1010210","1045096","1016196","939717","1192776","1012990","1118376","926029","795502","678917","687780","1011666","1361836","1648782","1553482","1520950","1449689","1344011","1015435","1033231","",
"Namibia","NAM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54487","54960","","47700","","43236","42360","46043","44740","40734","41306","37260","35936","32369","33991","43688","44328","54503","45684","48672","49582","50623","","43775","36051","","","","8724","",
"New Caledonia","NCL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","718525","737915","","","757226","770004","","","803809","","","","","873340","","","980282","1015936","1040403","1099067","","","","","1222149","1255869","1274000","1311189","1291740","1269196","1248581","1233282","1291671","1319307","1347609","1324820","1288503","1236386","1153161","1158516","1217862","1270717","1270362","1282980","1223142","",
"Nigeria","NGA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7029016","6573258","","","","6826372","6911520","6989670","6542314","8358777","8359978","8628878","","","","","","","","",
"Nicaragua","NIC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","202142","192597","196496","197180","202089","198335","197829","208597","226041","","194982","","216798","221038","237095","217271","229786","224589","228765","246795","235100","220819","199576","197363","193135","209184","216288","","","138748","112512","78205","20398","","6486","4976","12662","14535","7833","","11914","","","","","","","","",
"Netherlands","NLD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","104731","115367","125001","136649","138799","124373","118338","109929","99953","96011","100873","123691","143992","154741","155510","88892","66337","48502","42128","43941","51680","62402","69851","11358","8793","6893","3825","","","","","","","","","","","","","","","","","","","","","",
"Norway","NOR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","9007","6946","","","","1226","1424","4012","5412","3271","6334","7212","","9761","13053","12491","9988","7610","4228","835","133","1086","4135","5034","5768","5647","61975","1059","840","1227","1013","1171","624","2818","6492","6123","4018","3191","3642","3940","2545","1317","607","719","1010","848","","",
"Nepal","NPL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","832367","832155","","","","787934","","","","","","","","","","","1033680","858139","","","663704","650456","","","","","","","53049","13939","","185343","103664","101859","159211","",
"Nauru","NRU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","315","","190","","263","","",
"New Zealand","NZL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","106","795","367","1859","2065","1614","1220","1528","2004","2076","1874","2386","2713","3912","1585","1314","732","420","323","510","1457","3143","7701","","9432","5060","3547","852","","","","","","","","","","","","","","","","8029","9290","8535","5637","","",
"OECD members","OED","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","9340849","9372490","9323966","8775801","8831420","8603204","7947051","7576029","7446980","6884184","4934337","5023726","4640616","4987564","4851981","4779200","3903637","3276476","2872974","2889572","2323045","2428636","2792319","3150294","3372114","3212683","3400397","3874641","2782299","2287117","2233885","2162254","2427715","2191539","2355562","2148414","2134498","2012391","1997068","2445735","2643046","2881612","2869124","2878332","2827842","2566974","2311324","2335685","",
"Oman","OMN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","113738","110355","104124","106819","","103240","102459","","102554","103001","103146","96336","97519","89860","89626","96413","98000","98953","99869","98722","90770","88976","85076","75498","73153","65336","58495","54807","50909","51028","55586","","","","","","6734","","10201","7063","5547","6470","7195","4945","4477","",
"Other small states","OSS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","579621","604353","601065","591160","568427","538650","520156","512847","531716","543078","536722","518949","500806","506549","504112","495316","518457","536418","560712","596749","650364","669362","704214","717332","699695","713622","708823","711821","708896","718960","642145","613957","600397","604469","620070","636789","623380","630752","634038","624237","582961","555969","541535","573573","584940","590543","597430","582123","",
"Pakistan","PAK","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7884568","7574679","6544591","6178169","6680933","5758554","5604882","5312174","5028161","5613555","5756197","6121057","5682327","5668658","4901479","5324181","",
"Panama","PAN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","65783","46213","40485","35749","","32383","34001","","28884","33924","37880","42838","46632","50940","52139","50528","50956","48600","51768","47024","46647","","","","","","","","","25845","19390","14643","6513","","5561","7355","5007","5410","9981","22698","15886","20766","22691","30229","41136","53667","","","",
"Peru","PER","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","525155","","","483688","","","","","","","404471","258601","240582","","","141680","","","293715","","","","","210406","","394842","417366","440460","7748","1201","1674","9095","10214","16360","30910","36690","37144","38360","41654","38161","38268","48600","","","","72898","19945","23256","",
