
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bosnia and Herzegovina","BIH","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80968","","","","","","16988","29619","27232","31964","38174","36583","35618","","27709","29700","31323","20276","24701","24686","20855","14400","16598","",
"Belize","BLZ","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","299","1417","2605","","2603","1965","2185","1940","2155","1719","1335","929","1092","204","522","395","359","376","330","",
"Bermuda","BMU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","1084","1181","","","","","481","336","","","","","","","","","","","","","","","","","","","","116","","","","","","585","797","","","","","","",
"Bolivia","BOL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57261","56085","48467","45989","43543","37513","40053","39922","40645","44646","68095","27528","60727","92053","139212","145344","148574","139989","126435","104077","",
"Brazil","BRA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","243626","","149812","431963","767959","626699","548940","","1056614","197162","454365","","535410","173927","393728","373171","454937","395798","","",
"Barbados","BRB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","5166","4464","4085","","","359","495","520","338","","1710","1719","1119","","","","","","74","597","","2575","","","","","","","681","1080","1314","1949","1982","2234","2249","1811","1175","719","1393","1118","1460","","","1924","1680","1573","2126","",
"Brunei Darussalam","BRN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","2657","2728","5545","5814","7192","7917","7715","7566","","6617","","","","","3549","2970","2061","2049","749","","","","","","","","","","","","","","1129","","","1351","1031","1418","1437","1285","1355","",
"Bhutan","BTN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","48863","48699","","","","","","","","","","","","","","","","","","","51815","51418","48509","44570","","","","32444","28066","","21654","16693","14323","13398","11524","12840","","15606","17305","18367","",
"Botswana","BWA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","79127","85119","85140","85147","80960","72913","67590","62360","62667","61578","55281","46762","","42039","42891","40112","39063","38393","38668","38614","41243","36807","39357","40779","40349","63830","60331","","49024","50579","47336","42758","42425","42542","40195","42860","39567","41771","43149","40816","","","21786","19812","33883","","","","",
"Central African Republic","CAF","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","136360","133262","130871","","","","157226","162286","","","158969","157819","156602","","","159887","208993","225489","232015","197727","223771","","","","","","","","","","","","","","336071","339200","293663","239826","242852","230870","247359","232452","","","","","","",
"Canada","CAN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","97299","102735","114729","117955","111391","110779","111855","107729","108881","51739","58392","97239","111197","138724","117130","","37957","7182","1972","","","","","","","","","","","","11599","12074","13160","9007","863","","",
"Central Europe and the Baltics","CEB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","465527","268402","307346","293610","288007","298309","295480","289480","302389","293846","257768","237273","226057","207110","219959","222415","249155","267723","281305","285536","289498","",
"Switzerland","CHE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","147728","142575","","","125257","120857","118302","116785","113373","108359","100571","90973","81130","73642","70888","72272","77627","83368","53732","45007","","","2597","3559","3965","3980","3982","","","","","","","4356","3624","3701","1720","1635","1762","1146","","",
"Channel Islands","CHI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72187","76182","110057","102427","119543","127972","140140","137371","125240","105592","","",
"China","CHN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","6040179","4450010","3396083","3037353","3763417","5302815","6911613","8960554","11236798","12974383","14051869","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","569914","","","","","","","","","","","","","","1085048","1112079","","","","1109125","1113848","","1119670","1170440","1085133","1109856","1265947","","","","","","1450923","","","","1084851","938595","818619","461892","419597","",
"Cameroon","CMR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","353862","377887","410816","449190","388363","382111","411627","409577","411937","422808","","","","","","","","453805","","506850","563385","","","","","","","","","","","","","","","","","403341","331455","","290122","196915","","185423","","177737","185386","",
"Congo, Dem. Rep.","COD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","981922","1071578","","","1078167","","","","1095841","","","","1106004","1107242","","","","1845493","","","2210133","2401863","2570519","2600943","2161350","","","","4761036","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","40210","","27867","","21859","","13605","13377","38045","42387","42130","42207","39452","","","","","","","","","","","","","","","","","","","","","270428","260496","","","","102428","","90113","","","","","","",
"Colombia","COL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","1049560","","1156877","1240509","1350225","1357862","1398637","1427794","","1355625","1042620","1010730","964705","813739","588918","","261487","157938","106326","125740","103732","","118171","105729","148571","172669","151525","128625","113698","109545","229849","279437","309185","269465","250486","243808","",
"Comoros","COM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","6839","","","9759","14890","","","","","","","23445","","","","","34922","29428","","","","","","","20935","","","","","","14918","19819","","","19325","",
"Cabo Verde","CPV","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","5662","6308","7774","4538","3152","2542","1988","227","","435","","","","555","","","","151","","303","1261","1560","2047","3489","3972","4662","5741","7154","8048","8660","9202","8748","8906","8730","8646","9041","9073","",
"Costa Rica","CRI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","39881","","34826","32340","","33541","28301","","33086","37071","35909","33376","38861","","","50535","48494","49244","","50729","52132","51152","43214","40539","43172","35704","24398","","","","","","","","","","","","","","","2463","2288","6558","15637","15018","13887","","",
"Caribbean small states","CSS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","54611","55247","51578","50706","44310","65542","78026","59459","59383","59433","71939","64980","52656","48776","50993","50632","51593","37681","41993","30765","46460","62947","66095","72298","69869","65929","64087","63183","56936","54580","54741","60964","70181","71248","59521","60650","56465","54870","45703","47867","42312","41545","41556","41964","","","","","",
"Cuba","CUB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","98822","80426","68457","","","","","23420","33562","63525","76866","72613","86926","100648","89392","67634","65832","63035","66700","71639","52790","46272","25341","27208","8019","10851","13920","12479","19288","25987","29388","47680","49241","50654","49588","29348","20793","1540","411","29","3133","3304","25824","33528","30961","21346","",
"Curacao","CUW","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","15956","16551","16273","16467","20938","22368","22730","21869","21003","21113","18912","20970","20871","20755","20326","17336","14827","14186","14590","15643","16013","17852","1508","1986","2460","2516","2411","","1325","1276","1620","973","879","783","205","280","371","571","453","386","387","988","1358","1535","1176","","","",
"Czech Republic","CZE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6508","38","2005","7547","14264","3611","4316","7261","2227","8098","9960","9473","9595","12422","5263","4777","5330","6133","","",
"Djibouti","DJI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","52545","54345","58368","62653","66363","68605","70241","69774","72923","73558","74769","77662","81983","","85870","85757","81708","79359","","74709","73282","70269","66663","52810","53770","","45725","","45540","37591","43528","46244","39611","",
"Dominica","DMA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","221","1106","1186","","2051","2120","2288","1712","","","","","","","","","","","","","","","","","","155","274","131","201","153","424","563","932","853","222","","","","","","","117","","",
"Denmark","DNK","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","20604","16620","8811","4462","5139","5376","4519","3934","8171","8299","6046","8621","9982","4270","5640","6193","","1978","7523","7175","598","560","","7258","16127","14645","12264","14377","14582","15110","10503","8179","6239","7545","6032","4537","","",
"Dominican Republic","DOM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","213302","","","","","","","","","","","","","","","","","","","","","","","","","","","190640","181187","","114339","151849","213526","193352","211568","136643","179779","61560","96251","108626","133202","149188","178906","142120","154709","","",
"Algeria","DZA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","880923","795716","745548","703289","673543","659842","676565","661495","672969","705636","752963","740979","752599","731061","700554","674816","647004","639055","574878","536041","566620","575647","568935","591560","616417","","479436","437379","334325","272112","242540","203108","183211","167668","153790","100344","29957","31982","27410","26026","","","24862","27860","21362","",
"East Asia & Pacific (excluding high income)","EAP","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","14235981","9715355","7928073","6747892","7392529","8001837","9484993","11238807","13252125","15892242","17692551","19139032","15258265","11210005","10236752","8925423","4611466","4791116","5023045","8625890","9381438","7378274","7114065","6402218","6099548","5757098","5949306","6502186","6362797","6528520","6676268","6665198","",
"Early-demographic dividend","EAR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","65718652","67319815","65919547","63398101","64841379","63505515","62908899","61428784","64089383","64537258","63314178","61864399","60280405","59462586","58958087","59729796","58939820","60834383","58985828","56077577","57067010","57156806","57922204","57319434","55949319","57182832","55959076","56923926","56743925","55195909","51227950","49307817","48200433","41645720","37341224","33450651","30496835","25011263","24457923","24756755","22767465","23133334","21778906","21478339","21620331","20791186","20633059","21054907","",
"East Asia & Pacific","EAS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","23648771","27591577","32418340","32448079","30438079","27798035","26284832","25502021","24084887","18679034","14414173","9820325","7996100","6807466","7466407","8144032","9680400","11470391","13451329","16117968","17944584","19457889","15637800","11592594","10602667","9331197","4968382","5052109","5247808","8785666","9535845","7511078","7236879","6524335","6259840","5922976","6182903","6839128","6722081","6777379","6990864","6982039","",
"Europe & Central Asia (excluding high income)","ECA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1375105","1641143","1756401","2019697","1952449","2063668","1900466","1740295","1837771","1651198","1364785","1318177","1317563","1205294","1255116","1187276","1147946","1224944","1092062","1058994","1064377","962459","998138","932824","957004","950712","",
"Europe & Central Asia","ECS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","3844633","4007603","3951739","3847805","3647204","3584391","3486555","3375540","3384232","3673878","3656070","3785773","3442209","3422090","3099094","2909792","2647802","2741800","2707281","2493756","2638520","2775815","2862294","3057469","2875294","2884195","2262907","2080369","2295143","2109752","1897617","1902590","1982632","1749075","1787292","1726072","1610181","1717790","1571015","1517033","1484819","1351753","1447895","1369575","1405266","1403281","",
"Ecuador","ECU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","204161","","208677","203942","216642","216889","185373","167157","131530","152093","","","","","","","","","","","","","","122808","119006","103793","65674","60014","64094","51976","24929","11092","12162","","11147","9788","11405","","50026","58608","53970","59086","64921","34973","37441","33556","39278","",
"Egypt, Arab Rep.","EGY","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","2008608","2029913","2089281","","","","","2223498","","","","","","","","","","","","","","","","1254935","","","1266725","","1428107","1218103","1067124","927592","767947","579293","636785","815532","280054","","189378","103493","488303","332520","","360955","","154511","163886","",
"Euro area","EMU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","1132399","1143517","1125937","1133626","996012","927668","846923","826845","734715","675603","667173","657315","715379","839747","863298","839878","674168","628252","598694","563386","593190","591094","685083","653379","681523","592186","461931","440713","191557","158751","276397","285911","317260","337477","352248","235269","225038","192432","204634","227688","241934","221422","208234","235276","288358","275575","292078","292724","",
"Eritrea","ERI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","349481","","354557","357863","358184","359308","","335475","307673","294346","264303","237714","222653","214241","218159","245988","268414","293426","316181","314551","313014","350503","361719","383685","","437315","",
"Spain","ESP","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","229392","186607","156014","","17468","3049","29784","49272","46230","27866","27225","","13763","8070","6884","6478","25378","50465","30419","29616","9075","16593","321","399","992","1503","1680","","3543","4554","5730","4376","3448","6073","9183","5416","2894","3530","7089","9962","8653","9059","24579","41982","30759","42849","","",
"Estonia","EST","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17158","12362","","999","1073","1250","1254","1218","2735","3429","3363","3514","2481","2733","2786","636","257","293","1296","4587","5280","5385","","",
"Ethiopia","ETH","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","4838242","4957362","5219710","","","","","7267138","7313597","7149704","","6778208","6694938","6436676","6143921","6073720","6191837","6074924","4925675","4498237","3958993","3296742","3454203","3820035","3290773","3152376","","2154446","2221454","","","",
"European Union","EUU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","1562471","1566346","1537210","1605676","1506601","1473606","1424995","1439817","1402949","1394998","1371596","1438362","1443019","1573417","1591985","1643518","1476375","1378277","1350198","1392468","1465963","1539920","1642024","1475473","1318415","1191289","1036643","879296","429008","441719","557621","554347","600979","618651","675185","561434","567071","571502","502593","536868","525089","511272","488165","482785","549201","544184","570007","574521","",
"Fragile and conflict affected situations","FCS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","13409801","13745860","13877451","13645995","14137336","14141912","14020614","14203181","14513783","14424932","14167779","13905060","14398740","14259415","14401662","14804396","14886290","15710635","16066899","16871946","18070751","17123057","17698577","18053458","18081398","18028599","18947298","19767689","20972745","21961541","21843034","21314823","20741997","19962944","19548945","19491667","18865778","18598580","17332666","17506189","17231043","17069106","16743276","17650949","17754878","18329929","18427659","18722076","",
